url,address,neighborhood,rent,beds,baths,flexible_rooms,zip
https://www.renthop.com/listings/10th-avenue-west-58-st/na/59471668, 10th Avenue west 58 st,"Hell's Kitchen, Midtown Manhattan, Manhattan",2435,1,1.0,0,
https://www.renthop.com/listings/820-dekalb-ave/2c/14011755,"820 Dekalb Avenue, Apt 2C","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2041,1,1.0,0,11221
https://www.renthop.com/listings/e-81-street/3a/59000158,E 81 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1625,0,1.0,0,
https://www.renthop.com/listings/354-east-78th-street/na/59475787,354 East 78th Street,"Upper East Side, Upper Manhattan, Manhattan",2475,1,1.0,0,10075
https://www.renthop.com/listings/ellwood-street/6b/59509990,Ellwood Street,"Fort George, Washington Heights, Upper Manhattan, Manhattan",1700,1,1.0,0,
https://www.renthop.com/listings/410-west-53rd-street/223/14481568,"410 West 53rd Street, Apt 223","Hell's Kitchen, Midtown Manhattan, Manhattan",2514,1,1.0,0,10019
https://www.renthop.com/listings/grove-st/4l/59451208,grove st,"Bushwick, Northern Brooklyn, Brooklyn",2100,1,1.0,0,
https://www.renthop.com/listings/wall-street/26b/59294600,Wall Street,"Financial District, Downtown Manhattan, Manhattan",2905,1,1.5,0,
https://www.renthop.com/listings/753-east-6th-street-new-york-ny-10009/na/14652571,753 East 6th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2000,2,1.0,0,10009
https://www.renthop.com/listings/columbus-ave/9v/59341739,Columbus Ave,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",2100,1,1.0,0,
https://www.renthop.com/listings/325-kent-avenue-brooklyn-ny-11249/1215/59267914,"325 Kent Avenue, Apt 1215","Williamsburg, Northern Brooklyn, Brooklyn",3781,1,1.0,0,11249
https://www.renthop.com/listings/25-61-46th-street/2/14741864,"25-61 46th Street, Apt 2","Astoria, Northwestern Queens, Queens",3000,3,2.0,0,
https://www.renthop.com/listings/605-west-42nd-street/19t/14464268,"605 West 42nd Street, Apt 19T","Hell's Kitchen, Midtown Manhattan, Manhattan",2280,0,1.0,0,10036
https://www.renthop.com/listings/310-east-81-street/2/58642632,"310 East 81 Street, Apt 2","Yorkville, Upper East Side, Upper Manhattan, Manhattan",4995,2,2.0,0,10028
https://www.renthop.com/listings/e-87-street/3g/58926217,E 87 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1675,0,1.0,0,
